"","Subject","Reject","xj","Confidence_Positive_1","Confidence_Positive_2","Confidence_Negative_1","Confidence_Negative_2","RT_Positive_1","RT_Positive_2","RT_Negative_1","RT_Negative_2","Accuracy_Positive_1","Accuracy_Positive_2","Accuracy_Negative_1","Accuracy_Negative_2","MetadPrime_Positive_1","MetadPrime_Positive_2","MetadPrime_Negative_1","MetadPrime_Negative_2","dPrime_Positive_1","dPrime_Positive_2","dPrime_Negative_1","dPrime_Negative_2","HR_Positive_1","HR_Positive_2","HR_Negative_1","HR_Negative_2","FAR_Positive_1","FAR_Positive_2","FAR_Negative_1","FAR_Negative_2","Mratio_Positive_1","Mratio_Positive_2","Mratio_Negative_1","Mratio_Negative_2"
"59",11127,0,1.00656630144455,NA,NA,3.97222222222222,NA,NA,NA,1.49591956871518,NA,NA,NA,0.729166666666667,NA,NA,NA,1.91407339812994,NA,NA,NA,1.22517126869165,NA,NA,NA,0.690748440748441,NA,NA,NA,0.278311965811966,NA,NA,NA,1.56229047076329,NA
"60",11127,0,2.01401627544314,NA,NA,NA,4.29931972789116,NA,NA,NA,1.53679926985569,NA,NA,NA,0.802721088435374,NA,NA,NA,1.85977081615826,NA,NA,NA,1.67412850468268,NA,NA,NA,0.743421052631579,NA,NA,NA,0.260800842992624,NA,NA,NA,1.11088892576425
"61",11128,0,0.980351810632274,3.6,NA,NA,NA,1.49582781153185,NA,NA,NA,0.7,NA,NA,NA,1.21893582055321,NA,NA,NA,1.04062837237041,NA,NA,NA,0.623076923076923,NA,NA,NA,0.336969001148106,NA,NA,NA,1.17134594146866,NA,NA,NA
"62",11128,0,1.98718865831383,NA,3.72388059701493,NA,NA,NA,1.39717402441602,NA,NA,NA,0.753731343283582,NA,NA,NA,1.11396132231014,NA,NA,NA,1.35295134592193,NA,NA,NA,0.673913043478261,NA,NA,NA,0.345005740528129,NA,NA,NA,0.823356527688772,NA,NA
"63",11128,0,0.997775959437713,NA,NA,3.68571428571429,NA,NA,NA,1.40296834744186,NA,NA,NA,0.778571428571429,NA,NA,NA,0.320809132428912,NA,NA,NA,1.5584378189814,NA,NA,NA,0.642307692307692,NA,NA,NA,0.34241452991453,NA,NA,NA,0.205853020583519,NA
"64",11128,0,2.00751742187887,NA,NA,NA,2.65648854961832,NA,NA,NA,1.41630520318358,NA,NA,NA,0.648854961832061,NA,NA,NA,1.14883962966936,NA,NA,NA,0.795245708038363,NA,NA,NA,0.549704142011834,NA,NA,NA,0.36368778280543,NA,NA,NA,1.44463480664763
"65",11129,0,1.01930392470211,4.76510067114094,NA,NA,NA,1.23858546915289,NA,NA,NA,0.771812080536913,NA,NA,NA,1.57850050299416,NA,NA,NA,1.48962863366494,NA,NA,NA,0.684716599190283,NA,NA,NA,0.246666666666667,NA,NA,NA,1.05966041959771,NA,NA,NA
"66",11129,0,1.99893286162056,NA,4.28378378378378,NA,NA,NA,1.24722803140867,NA,NA,NA,0.77027027027027,NA,NA,NA,1.19339433112907,NA,NA,NA,1.45720999266379,NA,NA,NA,0.695897435897436,NA,NA,NA,0.312307692307692,NA,NA,NA,0.818958377404163,NA,NA
"67",11129,0,1.00985111917369,NA,NA,4.22818791946309,NA,NA,NA,1.27417490565858,NA,NA,NA,0.718120805369127,NA,NA,NA,1.01771060502534,NA,NA,NA,1.13800958926907,NA,NA,NA,0.664473684210526,NA,NA,NA,0.349230769230769,NA,NA,NA,0.894290008293345,NA
"68",11129,0,2.0117446066346,NA,NA,NA,4.21621621621622,NA,NA,NA,1.29547903576167,NA,NA,NA,0.648648648648649,NA,NA,NA,1.31306439800284,NA,NA,NA,0.757065514404423,NA,NA,NA,0.606666666666667,NA,NA,NA,0.346153846153846,NA,NA,NA,1.73441316903177
"69",11130,0,0.98409040489234,5.02054794520548,NA,NA,NA,1.28484823695726,NA,NA,NA,0.801369863013699,NA,NA,NA,2.39549266601665,NA,NA,NA,1.75286163893879,NA,NA,NA,0.737525987525988,NA,NA,NA,0.191787941787942,NA,NA,NA,1.36661822747569,NA,NA,NA
"70",11130,0,2.00079795332626,NA,5.32885906040268,NA,NA,NA,1.16682337806924,NA,NA,NA,0.825503355704698,NA,NA,NA,2.74354578357842,NA,NA,NA,1.84984550287128,NA,NA,NA,0.808198380566802,NA,NA,NA,0.193333333333333,NA,NA,NA,1.48312157924538,NA,NA
"71",11130,0,1.00205208297819,NA,NA,4.87162162162162,NA,NA,NA,1.37015345527107,NA,NA,NA,0.851351351351351,NA,NA,NA,1.72343166244165,NA,NA,NA,2.05648350574893,NA,NA,NA,0.794698544698545,NA,NA,NA,0.24746963562753,NA,NA,NA,0.838047889819574,NA
"72",11130,0,2.00947002033703,NA,NA,NA,4.53378378378378,NA,NA,NA,1.42667462253848,NA,NA,NA,0.810810810810811,NA,NA,NA,1.85772931293604,NA,NA,NA,1.73961478029039,NA,NA,NA,0.758461538461539,NA,NA,NA,0.263076923076923,NA,NA,NA,1.067896947062
"73",11131,1,1.01111767749302,3.75,NA,NA,NA,1.29723783191002,NA,NA,NA,0.707142857142857,NA,NA,NA,1.32024532406427,NA,NA,NA,1.38702112802075,NA,NA,NA,0.658179848320693,NA,NA,NA,0.30498374864572,NA,NA,NA,0.951856678598853,NA,NA,NA
"74",11131,1,1.98132668821141,NA,3.76470588235294,NA,NA,NA,1.37801301108266,NA,NA,NA,0.698529411764706,NA,NA,NA,1.11102221303101,NA,NA,NA,1.27897388594868,NA,NA,NA,0.628205128205128,NA,NA,NA,0.314938684503902,NA,NA,NA,0.868682484636429,NA,NA
"75",11131,1,1.01719940218143,NA,NA,3.41007194244604,NA,NA,NA,1.35873346145672,NA,NA,NA,0.568345323741007,NA,NA,NA,1.44248766149107,NA,NA,NA,0.458446831107859,NA,NA,NA,0.533516483516484,NA,NA,NA,0.3136511375948,NA,NA,NA,3.14646664260985,NA
"76",11131,1,2.00479968470521,NA,NA,NA,3.02083333333333,NA,NA,NA,1.19454065826721,NA,NA,NA,0.618055555555556,NA,NA,NA,1.00766510503887,NA,NA,NA,1.12731994977882,NA,NA,NA,0.554358974358974,NA,NA,NA,0.327735644637053,NA,NA,NA,0.893859019559243
"77",11132,0,1.00754182226956,4.64028776978417,NA,NA,NA,1.4730563856283,NA,NA,NA,0.726618705035971,NA,NA,NA,1.69261008641114,NA,NA,NA,1.28613656613194,NA,NA,NA,0.652762730227519,NA,NA,NA,0.24010989010989,NA,NA,NA,1.31604227030234,NA,NA,NA
"78",11132,0,1.98667473568581,NA,5.04225352112676,NA,NA,NA,1.44192856077279,NA,NA,NA,0.767605633802817,NA,NA,NA,1.86768887508255,NA,NA,NA,1.5951692404163,NA,NA,NA,0.704594017094017,NA,NA,NA,0.208867521367521,NA,NA,NA,1.17084057776536,NA,NA
