Word	Wdnum	ValMn	ValSD	AroMn	AroSD	DomMn	DomSD	Length
bicyclist	1537	5.29	(2.16)	4.43	(2.38)	4.79	(1.19)	9
bikini	1538	5.47	(2.23)	5.47	(2.13)	4.47	(2.36)	6
binge	1539	2.76	(1.44)	4.71	(2.42)	3.71	(2.54)	5
binoculars	1540	6.14	(1.29)	3.79	(2.12)	6.00	(1.66)	10
bird	38	7.41	(1.35)	3.39	(2.31)	4.36	(2.21)	4
birth	1541	8.25	(0.87)	7.75	(1.36)	4.92	(2.5)	5
birthday	39	8.13	(0.97)	6.74	(2.14)	6.22	(2.59)	8
bitch	1542	2.23	(1.88)	6.67	(2.87)	3.75	(2.63)	5
bitter	2555	3.17	(1.46)	4.59	(1.90)	5.19	(1.79)	6
bizarre	2556	4.39	(1.23)	4.63	(1.95)	5.14	(1.54)	7
black	543	4.88	(2.03)	4.68	(2.32)	4.44	(1.73)	5
blackmail	40	2.93	(2.09)	6.31	(2.66)	3.72	(2.81)	9
blade	1543	2.64	(1.55)	6.00	(2.51)	3.86	(1.7)	5
blame	1544	2.63	(1.31)	5.31	(1.99)	3.19	(1.47)	5
bland	658	4.09	(1.15)	3.14	(1.61)	4.82	(1.33)	5
blanket	1545	7.31	(1.35)	3.56	(2.48)	5.38	(1.71)	7
blase	41	4.79	(1.03)	3.58	(1.77)	4.74	(0.87)	5
blasphemy	659	3.83	(2.43)	5.25	(2.31)	4.75	(1.39)	9
bleak	2557	3.65	(1.39)	3.15	(1.91)	4.47	(2.12)	5
bleed	1546	2.43	(1.91)	5.14	(3.18)	3.50	(1.99)	5
bless	42	7.73	(1)	4.00	(2.83)	5.68	(2.36)	5
blessing	2558	7.12	(1.76)	5.44	(2.44)	5.08	(1.73)	8
blessings	2559	7.80	(1.55)	5.74	(2.47)	5.35	(1.94)	9
blight	1547	4.07	(1.21)	3.57	(2.47)	4.57	(1.55)	6
blind	43	3.35	(2.11)	4.95	(2.39)	3.45	(1.93)	5
bliss	660	6.80	(2.53)	4.12	(2.79)	5.84	(2.1)	5
blister	661	2.25	(1.33)	4.40	(2.58)	3.55	(1.76)	7
blizzard	2560	3.81	(2.29)	5.09	(2.42)	3.95	(2.13)	8
