,Subject,Valence,Arousal,Confidence,RT,dPrime,Accuracy,MetadPrime,Mratio
82,11133,Low,High,4.446666666666666,1.3572635473756236,1.4589455510265408,0.7666666666666667,1.79174889155894,1.2281122419532604
83,11133,Low,Low,4.626666666666667,1.459003929499886,1.5056581766672696,0.7733333333333333,1.7503030479249497,1.1624836732857882
84,11134,High,High,5.616438356164384,1.0067409963085083,1.838437008604302,0.815068493150685,2.35779077657303,1.2824974505724342
85,11134,High,Low,5.715277777777778,1.0301590051385574,2.3221353211566518,0.875,2.99381426258322,1.2892505597356858
86,11134,Low,High,5.5,1.0797877579025226,1.9735357052212854,0.8378378378378378,2.14923785273159,1.0890291201955242
87,11134,Low,Low,5.22972972972973,1.082444954517996,1.5701391661296724,0.7718120805369127,2.06597786727448,1.3157928366101646
88,11135,High,High,4.583333333333333,1.6818492558522848,1.6563886764631313,0.7959183673469388,1.8917923425599399,1.1421186159032815
89,11135,High,Low,4.924137931034482,1.4967881318734726,1.5644506356732528,0.7671232876712328,2.0522332179571,1.311791609886069
90,11135,Low,High,3.6433566433566433,1.6630396809487138,1.4338889012051395,0.7517241379310344,1.2855955881621102,0.8965796353410691
91,11135,Low,Low,4.219178082191781,1.5447534621707746,1.499611297021005,0.7671232876712328,1.3960876191776201,0.9309663257078445
92,11136,High,High,4.178082191780822,1.6792228269332554,0.6404991787621821,0.6258503401360545,1.5178835883866102,2.3698447066240527
93,11136,High,Low,4.102739726027397,1.6073639923051815,1.5064960202125546,0.773972602739726,1.62948178654742,1.0816369672968091
94,11136,Low,High,4.0137931034482754,1.6071189001668245,1.18982374572786,0.7241379310344828,1.5509636809832201,1.3035238929732715
95,11136,Low,Low,3.9047619047619047,1.6377255834086102,1.3384089292123977,0.7482993197278912,1.34043877237089,1.0015166090977043
96,11137,High,High,3.2266666666666666,1.5807089335939963,1.6936131239080017,0.7933333333333333,1.2558207849736,0.7415039286397365
97,11137,High,Low,3.363013698630137,1.457660892556305,1.4180862847579225,0.7602739726027398,1.87013727432595,1.3187753766655994
98,11137,Low,High,2.6577181208053693,1.711028429781436,1.2395807171777786,0.7315436241610739,1.0979569038330699,0.885748615332488
99,11137,Low,Low,2.7635135135135136,1.6585516630439088,1.116033555252128,0.7094594594594594,0.874288000089215,0.7833886319768412
104,11139,High,High,4.02027027027027,1.1158354530343786,1.6964153935915578,0.7837837837837838,1.83561215131073,1.0820534629932073
105,11139,High,Low,4.423611111111111,1.1237356798083056,1.8100833446638909,0.7986111111111112,1.76926113164025,0.9774473296249123
106,11139,Low,High,3.1476510067114094,1.1905518080602633,1.4899993446557063,0.7449664429530202,0.904645345037182,0.6071447939101061
107,11139,Low,Low,3.2684563758389262,1.2057093746989267,1.1426561876767087,0.6778523489932886,1.72504659436366,1.5096812260484838
108,11140,High,High,3.1338028169014085,1.5762379318548483,1.3672278489350091,0.7152777777777778,1.69111167823008,1.2368908953598023
109,11140,High,Low,2.6808510638297873,1.5423395071557024,1.3157079005428258,0.7092198581560284,1.09884418734394,0.8351733594444378
110,11140,Low,High,2.7902097902097904,1.511677325281198,1.2155187639853648,0.6758620689655173,0.955511156207598,0.7860932998473256
111,11140,Low,Low,2.510344827586207,1.3685545819316758,1.7803999417898704,0.6643835616438356,1.0890511086868,0.6116890273496391
112,11141,High,High,5.048951048951049,1.4475403961841948,1.852042243087111,0.8125,1.5415656306963101,0.8323598646036944
113,11141,High,Low,4.966216216216216,1.3541482406435534,2.125339906358344,0.8523489932885906,1.6629359069180603,0.7824329190559509
114,11141,Low,High,5.5675675675675675,1.428690079424996,2.0344116793583553,0.8445945945945946,2.04868411136583,1.0070155082927839
115,11141,Low,Low,5.113333333333333,1.4725683940923773,1.4178343311422734,0.76,1.80590343628263,1.273705535700853
116,11142,High,High,4.570469798657718,1.2719781727064399,1.4500981969476325,0.7583892617449665,1.18231615147529,0.8153352331338614
117,11142,High,Low,4.082758620689655,1.3352162761730142,1.465594412471448,0.7671232876712328,1.4405649842480701,0.9829219953280455
118,11142,Low,High,4.168918918918919,1.3232513525872491,1.0327672356894548,0.6959459459459459,1.56625520949371,1.5165616756307236
119,11142,Low,Low,3.7651006711409396,1.3960919993696734,1.5436234982419155,0.7785234899328859,0.772267508490447,0.5002952529357115
120,43336,High,High,5.06993006993007,1.3809471106214914,1.0694507264772324,0.6993006993006993,0.8885762520469479,0.8308716147904406
121,43336,High,Low,4.8321678321678325,1.3117571424954804,1.3013019278877147,0.7412587412587412,0.8415942474173579,0.6467324987241365
122,43336,Low,High,4.578231292517007,1.1789925272314576,0.7710267565068849,0.6462585034013606,1.13826768850005,1.4763011515410176
123,43336,Low,Low,4.8,1.2905638290467323,1.124035041369202,0.7123287671232876,0.886604540459068,0.7887694847832175
124,47203,High,High,3.8666666666666667,1.221151224213827,1.42833389520189,0.74,1.17319728353878,0.8213746712024591
