"","SUBJ","RT.median","Confidence_RT.median","Accuracy_in_percent","Handedness_R_1","Total_Accepted_Trials","Gender_M_1","meta_d_0_30","meta_d_0_60","meta_d_0_90","meta_d_1_30","meta_d_1_60","meta_d_1_90","d_0_30","d_0_60","d_0_90","d_1_30","d_1_60","d_1_90","criterion_0_30","criterion_0_60","criterion_0_90","criterion_1_30","criterion_1_60","criterion_1_90","mratio_0_30","mratio_0_60","mratio_0_90","mratio_1_30","mratio_1_60","mratio_1_90","Confidence.mean_0_30","Confidence.mean_0_60","Confidence.mean_0_90","Confidence.mean_1_30","Confidence.mean_1_60","Confidence.mean_1_90","Accuracy.mean_0_30","Accuracy.mean_0_60","Accuracy.mean_0_90","Accuracy.mean_1_30","Accuracy.mean_1_60","Accuracy.mean_1_90"
"47","Subject_11134.txt",1.69583563775814,1.056,0.733333333333333,1,45,0,NA,NA,NA,NA,0.644289952609978,NA,NA,NA,NA,NA,1.23237451303568,NA,NA,NA,NA,NA,0.0583024936782415,NA,NA,NA,NA,NA,0.522803697897738,NA,NA,NA,NA,NA,2.64,NA,NA,NA,NA,NA,0.74,NA
"48","Subject_11135.txt",1.45201957662357,1.258,0.729166666666667,1,48,0,NA,NA,NA,NA,NA,0.892431287376375,NA,NA,NA,NA,NA,1.77101366817146,NA,NA,NA,NA,NA,0.347987727882959,NA,NA,NA,NA,NA,0.503909881338066,NA,NA,NA,NA,NA,3.72093023255814,NA,NA,NA,NA,NA,0.813953488372093
"49","Subject_11136.txt",1.29328759977943,1.2675,0.92,1,50,0,1.35621881073816,NA,NA,NA,NA,NA,0.979885620303486,NA,NA,NA,NA,NA,0.590376530663213,NA,NA,NA,NA,NA,1.38405828459665,NA,NA,NA,NA,NA,2.66666666666667,NA,NA,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA
"50","Subject_11137.txt",1.27812023408478,1.218,0.7,1,50,0,NA,0.851812490089329,NA,NA,NA,NA,NA,1.74317030427773,NA,NA,NA,NA,NA,0.070490622856913,NA,NA,NA,NA,NA,0.488657068101142,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA
"51","Subject_11139.txt",1.47271882396308,1.184,0.76,1,50,0,NA,NA,1.71719894162088,NA,NA,NA,NA,NA,1.90593027324406,NA,NA,NA,NA,NA,0.15187060734008,NA,NA,NA,NA,NA,0.900976791085885,NA,NA,NA,NA,NA,4.46,NA,NA,NA,NA,NA,0.84,NA,NA,NA
"52","Subject_11140.txt",1.35977432852087,1.326,0.84,1,50,0,NA,NA,NA,1.66817372625553,NA,NA,NA,NA,NA,0.643345405392917,NA,NA,NA,NA,NA,0.321672702696458,NA,NA,NA,NA,NA,2.59296749813066,NA,NA,NA,NA,NA,2.9375,NA,NA,NA,NA,NA,0.625,NA,NA
"53","Subject_11141.txt",1.41337363250204,1.3845,0.625,1,48,0,NA,NA,NA,NA,2.45782244694427,NA,NA,NA,NA,NA,1.34823992177274,NA,NA,NA,NA,NA,0.43071578307574,NA,NA,NA,NA,NA,1.82298595914041,NA,NA,NA,NA,NA,4.64,NA,NA,NA,NA,NA,0.74,NA
"54","Subject_11142.txt",1.25863615454,1.1435,0.74,1,50,0,NA,NA,NA,NA,NA,3.07442650349672,NA,NA,NA,NA,NA,1.97827242229957,NA,NA,NA,NA,NA,0.314646460953702,NA,NA,NA,NA,NA,1.55409662938281,NA,NA,NA,NA,NA,5.16,NA,NA,NA,NA,NA,0.84
"55","Subject_43336.txt",1.36523229604063,1.093,0.770833333333333,1,48,0,1.26027517412624,NA,NA,NA,NA,NA,1.14519699216497,NA,NA,NA,NA,NA,0.228496033199467,NA,NA,NA,NA,NA,1.10048767395357,NA,NA,NA,NA,NA,2.86,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA
"56","Subject_47203.txt",1.50300591623818,1.2515,0.72,1,50,0,NA,1.38248566324887,NA,NA,NA,NA,NA,1.28478436038241,NA,NA,NA,NA,NA,-0.0320975700048745,NA,NA,NA,NA,NA,1.07604490362676,NA,NA,NA,NA,NA,3.875,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA
