,Unnamed: 0,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock,Subject
219,219,True,Low,4.0,1.41,right,right,60.0,pity,2.0,1.2406717207923066,dummy,19.0,Low,4.0,0
220,220,False,Low,2.0,2.07,right,left,60.0,stain,5.0,2.714584747533081,crutch,20.0,Low,4.0,0
221,221,True,Low,2.0,2.506,left,left,60.0,doubt,2.0,2.220176646398613,cancel,21.0,Low,4.0,0
222,222,True,Low,7.0,1.044,right,right,60.0,blubber,6.0,1.3800890417769551,uninteresting,22.0,Low,4.0,0
223,223,True,Low,2.0,1.254,right,right,60.0,forgot,2.0,2.3199043496861123,dull,23.0,Low,4.0,0
224,224,True,Low,3.0,0.9520000000000001,left,left,60.0,greedy,2.0,2.8548502688936424,mold,24.0,Low,4.0,0
225,225,True,Low,4.0,1.127,left,left,60.0,lame,5.0,1.0664778640202712,damp,25.0,Low,4.0,0
226,226,True,Low,7.0,1.275,right,right,60.0,refuse,1.0,1.7915210760547782,ail,26.0,Low,4.0,0
227,227,True,Low,7.0,1.193,left,left,60.0,void,4.0,0.7587883695377968,false,27.0,Low,4.0,0
228,228,True,Low,2.0,1.405,left,left,60.0,cynical,4.0,2.4181310206477065,resent,28.0,Low,4.0,0
229,229,True,Low,6.0,1.4269999999999998,left,left,60.0,numb,3.0,0.9027719855366741,separate,29.0,Low,4.0,0
230,230,True,Low,2.0,2.075,left,left,60.0,pinch,5.0,1.8938167989836077,leave,30.0,Low,4.0,0
231,231,False,Low,4.0,1.41,right,left,60.0,fool,6.0,1.4411421447875907,timid,31.0,Low,4.0,0
232,232,False,Low,2.0,1.252,right,left,60.0,slow,4.0,2.9206756217463408,pungent,32.0,Low,4.0,0
233,233,False,Low,3.0,1.757,right,left,60.0,crap,6.0,1.9485459330608137,sludge,33.0,Low,4.0,0
234,234,True,Low,1.0,0.67,left,left,60.0,lower,1.0,2.5800160272629,cane,34.0,Low,4.0,0
235,235,False,Low,1.0,2.7030000000000003,left,right,60.0,blues,6.0,2.6887640398927037,slouch,35.0,Low,4.0,0
236,236,True,Low,3.0,1.956,left,left,60.0,smug,1.0,2.0967503403953742,habit,36.0,Low,4.0,0
