,Subject,Valence,Arousal,Confidence,RT,Accuracy,MetadPrime,dPrime,HR,FAR,Mratio,Reject
90,11135,Low,High,3.6433566433566433,1.6630396809487138,0.7482517482517482,1.2885855332670701,1.38634178478574,0.633575883575884,0.29523293607800605,0.9294861825622779,0
91,11135,Low,Low,4.219178082191781,1.5447534621707746,0.7671232876712328,1.45999530419668,1.4737050364779498,0.672307692307692,0.267123287671233,0.9906970988481919,0
92,11136,High,High,4.178082191780822,1.6825079919653945,0.6301369863013698,1.54772968934598,0.653022241108891,0.6239878542510121,0.36057692307692296,2.3701025660592996,0
93,11136,High,Low,4.102739726027397,1.6073639923051815,0.773972602739726,1.5871282391614898,1.48179336453849,0.7086406743940992,0.3,1.07108607525436,0
94,11136,Low,High,4.0137931034482754,1.6071189001668245,0.7241379310344828,1.5226313406454501,1.17163242942083,0.686666666666667,0.333867521367521,1.2995810822666598,0
95,11136,Low,Low,3.9047619047619047,1.6377255834086102,0.7482993197278912,1.32786271696265,1.31756757489917,0.6637214137214139,0.309230769230769,1.0078137488046999,0
96,11137,High,High,3.2266666666666666,1.5807089335939963,0.7933333333333333,1.24348012624825,1.66289647519901,0.6422064777327929,0.302125506072875,0.747779639198183,0
97,11137,High,Low,3.363013698630137,1.457660892556305,0.7602739726027398,1.8707952638265601,1.3953391933802501,0.689673340358272,0.312307692307692,1.3407458721879,0
98,11137,Low,High,2.6577181208053693,1.711028429781436,0.7315436241610739,1.0913597574210299,1.22080450853074,0.633333333333333,0.37904858299595096,0.8939676662355229,0
99,11137,Low,Low,2.7635135135135136,1.6585516630439088,0.7094594594594594,0.903145703285564,1.09919352514142,0.591599190283401,0.361226611226611,0.821643944062871,0
100,11138,High,High,2.5179856115107913,1.5481456886627711,0.5755395683453237,1.1945466153011002,0.40336586535333097,0.5585048754062839,0.384065934065934,2.96144695896548,1
101,11138,High,Low,3.08955223880597,1.5248064365514438,0.7089552238805971,1.32676192474333,1.08702726151224,0.6136624569460389,0.34503901895206196,1.2205415371989599,1
102,11138,Low,High,3.1666666666666665,1.5890516955187195,0.6944444444444444,1.67390624278118,1.05402817255239,0.60432033719705,0.292413066385669,1.58810389168984,1
103,11138,Low,Low,2.688888888888889,1.5293534732481933,0.5925925925925926,1.2952479346610901,0.46575735521563394,0.5987370838117111,0.404945054945055,2.78095003794716,1
104,11139,High,High,4.02027027027027,1.1158354530343786,0.7837837837837838,1.82338158219598,1.66214144292555,0.705971659919028,0.25727650727650697,1.09700747187112,0
105,11139,High,Low,4.423611111111111,1.1237356798083056,0.7986111111111112,1.77102987375861,1.77093743487815,0.742723492723493,0.251602564102564,1.00005219771102,0
106,11139,Low,High,3.1476510067114094,1.1905518080602633,0.7449664429530202,0.8964385357088291,1.45893285982374,0.608805668016194,0.314358974358974,0.61444810819953,0
107,11139,Low,Low,3.2684563758389262,1.2057093746989267,0.6778523489932886,1.71867307655303,1.11635605669036,0.5810256410256409,0.265688259109312,1.53953845303474,0
108,11140,High,High,3.1338028169014085,1.5762379318548483,0.7112676056338029,1.68694106362231,1.3188162622722601,0.648577449947313,0.30931744312026,1.27913274341627,0
109,11140,High,Low,2.6808510638297873,1.5423395071557024,0.7092198581560284,1.08453763637011,1.28399938410985,0.593956043956044,0.338777660695469,0.8446558851910829,0
110,11140,Low,High,2.7902097902097904,1.511677325281198,0.6783216783216783,0.8890237883382471,1.1893728055168702,0.584935897435897,0.350368809272919,0.7474727723843521,0
111,11140,Low,Low,2.510344827586207,1.3674114067398475,0.6689655172413793,1.1026574112531102,1.642043768508,0.584935897435897,0.35230769230769204,0.671515237535363,0
112,11141,High,High,5.048951048951049,1.4473187221447006,0.8111888111888111,1.53814097231644,1.80629980685586,0.6801896733403578,0.18322649572649602,0.851542455177366,0
113,11141,High,Low,4.966216216216216,1.3528708076337352,0.8513513513513513,1.6450456020967799,2.0746682380273,0.762564102564103,0.19948717948718,0.792919837468073,0
114,11141,Low,High,5.5675675675675675,1.428690079424996,0.8445945945945946,2.06065364952655,1.9956844286577702,0.8343589743589741,0.22410256410256402,1.032554856838,0
115,11141,Low,Low,5.113333333333333,1.4725683940923773,0.76,1.80857398527571,1.3956159633147498,0.751518218623482,0.296052631578947,1.29589660251531,0
116,11142,High,High,4.570469798657718,1.2719781727064399,0.7583892617449665,1.18928060865018,1.4253726237302,0.661025641025641,0.257591093117409,0.834364704955419,0
117,11142,High,Low,4.082758620689655,1.3387523076962682,0.7655172413793103,1.3986818344043601,1.4309178195110102,0.692827442827443,0.310326659641728,0.977471812380067,0
118,11142,Low,High,4.168918918918919,1.3232513525872491,0.6959459459459459,1.62031132726843,1.01744881097433,0.6543659043659039,0.30414979757085,1.59252368255931,0
119,11142,Low,Low,3.7651006711409396,1.3960919993696734,0.7785234899328859,0.776110169442659,1.5183361395404398,0.64974358974359,0.314271255060729,0.511158332619,0
120,43336,High,High,5.06993006993007,1.3809471106214914,0.6993006993006993,0.889326184942377,1.0523717275422901,0.604166666666667,0.275553213909378,0.84506848831763,0
121,43336,High,Low,4.8321678321678325,1.3117571424954804,0.7412587412587412,0.9091279723681329,1.28039308948598,0.665064102564103,0.29768177028451,0.7100381748648029,0
122,43336,Low,High,4.578231292517007,1.1789925272314576,0.6462585034013606,1.13775772295368,0.7595901862285841,0.594358974358974,0.32172557172557203,1.4978573230424699,0
123,43336,Low,Low,4.8,1.2959820171236058,0.7172413793103448,0.87692053520961,1.1382631785571202,0.648128898128898,0.29768177028451,0.770402268762842,0
124,47203,High,High,3.8666666666666667,1.221151224213827,0.74,1.1846653701993501,1.40029218662883,0.609817813765182,0.277834008097166,0.8460129832270259,0
125,47203,High,Low,4.281879194630872,1.2966306790767703,0.738255033557047,1.6931651265818701,1.41868325634368,0.6158974358974361,0.23532388663967602,1.1934764994306102,0
126,47203,Low,High,3.785234899328859,1.2739974451251328,0.7449664429530202,1.3269426947866,1.4529177952138301,0.589230769230769,0.26265182186234803,0.913295094297688,0
127,47203,Low,Low,3.7094594594594597,1.2410116046958137,0.6621621621621622,1.6087348198110902,0.989309541598136,0.5723684210526321,0.29261954261954304,1.62611877493098,0
128,47284,High,High,4.7622377622377625,1.1985386820015265,0.7832167832167832,1.75884743605889,1.5438989519778201,0.74860646599777,0.269736842105263,1.1392244510599,0
129,47284,High,Low,4.425675675675675,1.2005307030194672,0.7635135135135135,1.4067491146259998,1.42080432127551,0.7246153846153849,0.312307692307692,0.9901075704521399,0
130,47284,Low,High,4.79054054054054,1.188411118237127,0.8040540540540541,1.55861473779623,1.6953348569833502,0.726666666666667,0.244615384615385,0.919355094585626,0
131,47284,Low,Low,4.904761904761905,1.1768052981205983,0.7687074829931972,2.07990754884185,1.46928326382824,0.726666666666667,0.23128898128898104,1.41559330324271,0
132,47542,High,High,5.069767441860465,1.4513308148307258,0.7751937984496124,2.5000344320317596,1.54656517984453,0.747162673392182,0.193956043956044,1.6165076419754199,0
133,47542,High,Low,3.9477611940298507,1.549011641262041,0.7313432835820896,1.32778953535121,1.5699694012991001,0.631549609810479,0.24052812858783,0.845742301889772,0
134,47542,Low,High,4.6992481203007515,1.5523895254300442,0.7368421052631579,2.3905230056367497,1.3009971101925801,0.720436280137773,0.21549773755656101,1.83745450847534,0
135,47542,Low,Low,4.486725663716814,1.5085439184185816,0.7522123893805309,2.54790060148287,1.35810191481693,0.767307692307692,0.25664335664335697,1.87607466986475,0
136,47617,High,High,5.1824324324324325,1.2382392399740638,0.8648648648648649,2.15649632152145,2.2694483987197502,0.747179487179487,0.136923076923077,0.95022928159018,0
137,47617,High,Low,4.95945945945946,1.3300628643482924,0.8243243243243243,2.43426223404756,1.8525125550036396,0.7738461538461541,0.20358974358974397,1.31403278615986,0
138,47617,Low,High,4.782312925170068,1.249973373429384,0.8367346938775511,1.90616643328227,1.9288872605412501,0.7769230769230769,0.240644490644491,0.988220759334266,0
139,47617,Low,Low,4.931972789115647,1.2147493189404486,0.8707482993197279,1.76554956424874,2.2695553790368397,0.7512820512820509,0.18035343035343,0.77792750974775,0
